Frequency [ppm],Intensity [abs],Width [Hz],Lineshape Parameter,Lineshape,Area [abs*Hz]
1.5435172393612904,200685.68991668976,0.26308813368848166,0.9974875006296793,PVOIGT,112537.8438950253
1.5491899062531234,196692.94526718202,0.4730512065339136,0.7432389068928233,PVOIGT,222281.4170614734
1.5558941102199795,117475.39674366309,0.9794166693060573,0.9974875006296793,PVOIGT,245242.2748874698
1.5626988464476612,16026.798269813122,1.5218294116721471,0.9974875006296793,PVOIGT,51986.86971548428
1.567529417721969,28757.664930712934,0.15580703234462318,0.9974875006296793,PVOIGT,9550.400828192627
1.5691163524374143,32572.797840450203,1.2037788694023612,0.9974875006296793,PVOIGT,83576.21595158138
1.573537816435058,35244.52057974089,0.178179708712427,0.9974875006296793,PVOIGT,13385.38219928025
1.9374000640767093,13398.220497845654,0.5941628086183512,0.9974875006296793,PVOIGT,16968.111485799574
2.08720157380469,858809.4501591475,0.9094256854657572,2.456361598749578E-8,PVOIGT,2453657.2711426653
2.1007458012605458,1712100.9829642617,0.7789200442784651,0.1412396037276031,PVOIGT,3998855.8219390907
2.109861223952918,997781.140856903,0.6988587906095989,0.561939330031125,PVOIGT,1793852.999796746
2.114784665491026,1338024.3089235863,0.5409067516244769,0.468663766266509,PVOIGT,1930228.890536678
2.1226470821631858,1336140.6759595536,0.503011041636917,0.9974875006296793,PVOIGT,1432552.767826901
2.127733214468398,1452074.6521402472,0.442887891955682,0.24049985559561018,PVOIGT,1863753.132478486
2.13538666489916,560566.3865223237,0.5133255944399872,2.4462746688839106E-8,PVOIGT,904002.9348930741
2.140417285107482,715671.1459301913,0.5124694557354272,0.20029986567047608,PVOIGT,1077817.448267967
2.1465118939607755,42799.15780232175,2.5327084306494103,0.9974875006296793,PVOIGT,231047.53710423052
2.149896614068937,117403.95220887019,0.961466255391762,0.9974875006296793,PVOIGT,240601.14384169196
2.1640197558221326,82966.64614699886,1.974791520219861,0.5406530937789163,PVOIGT,425021.37506215565
2.219644132185666,21397.271471979442,0.18880467738019877,0.9974875006296793,PVOIGT,8610.969881149484
2.2226885271997823,17414.397272991362,0.2896738430326794,0.9974875006296793,PVOIGT,10752.232658419945
2.2351417810356042,92427.15576893324,3.4508071266525455,2.456361598749578E-8,PVOIGT,1002005.5899681549
2.429061933026068,21034.23851968904,1.3942267885753865,2.456361598749578E-8,PVOIGT,92131.91252344543
2.440545130694017,18573.862156994288,0.38979599994981634,0.9974875006296793,PVOIGT,15431.939805910803
2.4526186197023394,21671.277004755055,0.8296384351340291,0.9974875006296793,PVOIGT,38322.54045575036
2.469149290350274,15774.122804748542,0.829303791091771,0.9974875006296793,PVOIGT,27883.018868638323
2.6563899772037507,10999.100782141499,2.6982282481856608,0.9974875006296793,PVOIGT,63258.19423479124
4.5336619178045,17506.60899475464,0.1251561887298443,0.9974875006296793,PVOIGT,4670.19791733213
4.536080995779192,48058.467585968465,0.18698069951883328,0.9974875006296793,PVOIGT,19153.47693821857
4.5385401571434745,143537.6662907344,0.19951988982783642,0.9974875006296793,PVOIGT,61042.59694862956
4.618175146113519,128782.83281969762,0.3339237592889291,0.9974875006296793,PVOIGT,91661.34367203436
4.61955574480651,727502.6982470809,0.6685923332007694,0.9974875006296793,PVOIGT,1036756.8773607854
4.625065857588693,639174.0034298333,0.4565225199925486,0.9974875006296793,PVOIGT,621959.6825315354
4.62976585370686,329505.3080454839,0.22436203376788896,0.9974875006296793,PVOIGT,157576.9562893914
4.641744732682545,268196.4476492603,0.12782110473527156,0.9974875006296793,PVOIGT,73069.563380331
4.643611607838928,742660.1613182516,0.18383333508613817,0.9974875006296793,PVOIGT,291001.5606429812
4.690606043337114,493508.71476229286,0.675952604930438,0.9974875006296793,PVOIGT,711036.6659916932
4.702153266869464,1082842.8363472626,1.0973819961249445,0.9974875006296793,PVOIGT,2532819.160300155
4.72715620372528,194551.4990226013,1.2265938951140243,0.9974875006296793,PVOIGT,508646.78588821966
4.753274993572551,298548.2869768143,3.3087651963195337,0.9974875006296793,PVOIGT,2105530.112232279
12.769907052246817,11208.068300227342,0.5967727287147432,0.9974875006296793,PVOIGT,14256.754189406192
12.78967101326223,19727.29813887763,0.5946155145185228,0.9974875006296793,PVOIGT,25002.57674130708
12.824814566610758,31859.623451501084,0.46689887805675234,0.9974875006296793,PVOIGT,31706.214488349066
12.830035237005031,32449.297799988097,0.3734084622049006,0.9974875006296793,PVOIGT,25826.787142152767
12.978591830621742,85632.49036369499,0.2515330115262978,0.9974875006296793,PVOIGT,45910.760753901086
12.98344866134804,16864.531969187057,0.44219925610807265,0.9974875006296793,PVOIGT,15895.46455512538
12.988671381795426,19166.32080084672,0.6012379985811634,0.9974875006296793,PVOIGT,24562.134079123403
13.003863855562996,72842.96267246449,1.0781397545089397,0.9974875006296793,PVOIGT,167395.42550312655
13.015354812048798,22752.008994766213,0.4336713115768814,0.9974875006296793,PVOIGT,21031.069982170695
13.016448414012382,25939.02330224901,0.9269215888563167,0.9974875006296793,PVOIGT,51248.07312756161
13.023003593843148,86514.46332978328,0.7007291974834738,0.9974875006296793,PVOIGT,129217.06017783345
13.031371341605956,85519.4405640844,0.2655655916943907,0.9974875006296793,PVOIGT,48408.04905661398
13.054577978460882,52332.869018808284,1.993554232306385,0.9974875006296793,PVOIGT,222373.75184787306
