ID_506,ID_506,UDP-N-acetylmuramate-L-alanine ligase,N-Acetylmuramate + L-Alanine + ATP=>ADP + Phosphate + UDP-N-acetylmuramoyl-L-alanine,CD630_35180,UDP-N-acetylmuramate--L-alanine ligase (UDP-N-acetylmuramoyl-L-alanine synthetase),UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)
ID_428,ID_428,UDP-N-acetylmuramoyl-L-alanine-D-glutamate ligase,ATP + D-Glutamate + UDP-N-acetylmuramoyl-L-alanine=>ADP + Phosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,CD630_26530,UDP-N-acetylmuramoylalanine--D-glutamate ligase (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase) (D-glutamic acid-adding enzyme),UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
ID_526,ID_526,glutamate-ammonia ligase,ATP + L-Glutamate + NH3=>ADP + L-Glutamine + Phosphate,CD630_13430,Glutamine synthetase,"Glutamine synthetase, clostridia type (EC 6.3.1.2)"
ID_357,ID_357,alanine racemase,L-Alanine=>D-Alanine,CD630_26230 or CD630_34630 or CD630_28190 or CD630_20280 or CD630_04480 or CD630_16280,Alanine racemase 2,Alanine racemase (EC 5.1.1.1)
ID_346,ID_346,D-alanine-D-alanine ligase,D-Alanine + ATP=>ADP + Ala-Ala + Phosphate,CD630_14080,D-alanine--D-alanine ligase (D-alanylalanine synthetase) (D-Ala-D-Ala ligase),D-alanine--D-alanine ligase (EC 6.3.2.4)
ID_561,ID_561,L-glutamate:NAD+ oxidoreductase (transaminating),2-Oxoglutarate + L-Glutamine + H+ + NADH=>L-Glutamate + NAD,CD630_13390 or CD630_15370,putative glutamate synthase,NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B
ID_347,ID_347,aspartate 1-decarboxylase,L-Aspartate=>L-Alanine + CO2,CD630_25150,putative L-aspartate-beta-decarboxylase,L-aspartate beta-decarboxylase (EC 4.1.1.12)
ID_380,ID_380,glucosamine-6-phosphate deaminase,D-Glucosamine phosphate + H2O=>M-fru6p-c_c0 + NH3,CD630_10110,Glucosamine-6-phosphate deaminase,Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
ID_331,ID_331,UDP-N-acetylglucosamine diphosphorylase,N-Acetyl-D-glucosamine1-phosphate + UTP=>PPi + UDP-N-acetylglucosamine,CD630_35150,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
ID_227,ID_227,phosphoglucosamine mutase,D-Glucosamine phosphate=>D-Glucosamine1-phosphate,CD630_01190,Phosphoglucosamine mutase,Phosphoglucosamine mutase (EC 5.4.2.10)
